id,userLabel,Asset ID
0x20000000197,Slab_1st_Floor,SLB-G-001
0x200000001d2,Slab_2nd_Floor,SLB-2F-001
0x2000000020d,Slab_3rd_Floor,SLB-3F-001
0x2000000007c,Column,COL-G-001
0x2000000007d,Column,COL-G-002
0x2000000007e,Column,COL-G-003
0x2000000007f,Column,COL-G-004
0x20000000080,Column,COL-G-005
0x20000000081,Column,COL-G-006
0x20000000082,Column,COL-G-007
0x20000000083,Column,COL-G-008
0x200000000a2,Column_Ground_Floor__0_30x0_30_,COL-G-009
0x200000000a3,Column_Ground_Floor__0_30x0_30_,COL-G-010
0x200000000a4,Column,COL-G-011
0x200000000a5,Column,COL-G-012
0x200000000a6,Column,COL-G-013
0x200000000a7,Column,COL-G-014
0x200000000a8,Column,COL-G-015
0x200000000a9,Column,COL-G-016
0x200000000aa,Column,COL-G-017
0x200000000ab,Column,COL-G-018
0x200000000ac,Column,COL-G-019
0x200000000ad,Column,COL-G-020
0x200000000ae,Column,COL-G-021
0x200000000af,Column,COL-G-022
0x200000000b0,Column,COL-G-023
0x200000000b1,Column,COL-G-024
0x200000000b2,Column,COL-G-025
0x200000000b3,Column,COL-G-026
0x200000000b4,Column,COL-G-027
0x200000000b5,Column,COL-G-028
0x200000000b6,Column,COL-G-029
0x200000000b7,Column,COL-G-030
0x200000000b8,Column,COL-G-031
0x200000000b9,Column_Ground_Floor__0_30x0_30_,COL-G-032
0x200000000ba,Column_Ground_Floor__0_30x0_30_,COL-G-033
0x200000000bb,Column_Ground_Floor__0_30x0_30_,COL-G-034
0x200000000bc,Column_Ground_Floor__0_30x0_30_,COL-G-035
0x20000000178,Column,COL-G-036
0x200000000db,Column_2nd_Floor,COL-2F-001
0x200000000dc,Column_2nd_Floor,COL-2F-002
0x200000000dd,Column_2nd_Floor,COL-2F-003
0x200000000de,Column_2nd_Floor,COL-2F-004
0x200000000df,Column_2nd_Floor,COL-2F-005
0x200000000e0,Column_2nd_Floor,COL-2F-006
0x200000000e1,Column_2nd_Floor,COL-2F-007
0x200000000e2,Column_2nd_Floor,COL-2F-008
0x200000000e3,Column_2nd_Floor,COL-2F-009
0x200000000e4,Column_2nd_Floor,COL-2F-010
0x200000000e5,Column_2nd_Floor,COL-2F-011
0x200000000e6,Column_2nd_Floor,COL-2F-012
0x200000000e7,Column_2nd_Floor,COL-2F-013
0x200000000e8,Column_2nd_Floor,COL-2F-014
0x200000000e9,Column_2nd_Floor,COL-2F-015
0x200000000ea,Column_2nd_Floor,COL-2F-016
0x200000000eb,Column_2nd_Floor,COL-2F-017
0x200000000ec,Column_2nd_Floor,COL-2F-018
0x200000000ed,Column_2nd_Floor,COL-2F-019
0x200000000ee,Column_2nd_Floor,COL-2F-020
0x200000000ef,Column_2nd_Floor,COL-2F-021
0x200000000f0,Column_2nd_Floor,COL-2F-022
0x200000000f1,Column_2nd_Floor,COL-2F-023
0x200000000f2,Column_2nd_Floor,COL-2F-024
0x200000000f3,Column_2nd_Floor,COL-2F-025
0x200000000f4,Column_2nd_Floor,COL-2F-026
0x200000000f5,Column_2nd_Floor,COL-2F-027
0x200000000f6,Column_2nd_Floor,COL-2F-028
0x200000000f7,Column_2nd_Floor,COL-2F-029
0x200000000f8,Column_2nd_Floor,COL-2F-030
0x20000000117,Column_2nd_Floor__0_30x0_30_,COL-2F-031
0x20000000118,Column_2nd_Floor__0_30x0_30_,COL-2F-032
0x20000000119,Column_2nd_Floor__0_30x0_30_,COL-2F-033
0x2000000011a,Column_2nd_Floor__0_30x0_30_,COL-2F-034
0x2000000011b,Column_2nd_Floor__0_30x0_30_,COL-2F-035
0x2000000011c,Column_2nd_Floor__0_30x0_30_,COL-2F-036
0x2000000013b,Column_3rd_Floor,COL-3F-001
0x2000000013c,Column_3rd_Floor,COL-3F-002
0x2000000013d,Column_3rd_Floor,COL-3F-003
0x2000000013e,Column_3rd_Floor,COL-3F-004
0x2000000013f,Column_3rd_Floor,COL-3F-005
0x20000000140,Column_3rd_Floor,COL-3F-006
0x20000000141,Column_3rd_Floor,COL-3F-007
0x20000000142,Column_3rd_Floor,COL-3F-008
0x20000000143,Column_3rd_Floor,COL-3F-009
0x20000000144,Column_3rd_Floor,COL-3F-010
0x20000000145,Column_3rd_Floor,COL-3F-011
0x20000000146,Column_3rd_Floor,COL-3F-012
0x20000000147,Column_3rd_Floor,COL-3F-013
0x20000000148,Column_3rd_Floor,COL-3F-014
0x20000000149,Column_3rd_Floor,COL-3F-015
0x2000000014a,Column_3rd_Floor,COL-3F-016
0x2000000014b,Column_3rd_Floor,COL-3F-017
0x2000000014c,Column_3rd_Floor,COL-3F-018
0x2000000014d,Column_3rd_Floor,COL-3F-019
0x2000000014e,Column_3rd_Floor,COL-3F-020
0x2000000014f,Column_3rd_Floor,COL-3F-021
0x20000000150,Column_3rd_Floor,COL-3F-022
0x20000000151,Column_3rd_Floor,COL-3F-023
0x20000000152,Column_3rd_Floor,COL-3F-024
0x20000000153,Column_3rd_Floor,COL-3F-025
0x20000000154,Column_3rd_Floor,COL-3F-026
0x20000000155,Column_3rd_Floor,COL-3F-027
0x20000000156,Column_3rd_Floor,COL-3F-028
0x20000000157,Column_3rd_Floor,COL-3F-029
0x20000000176,Column_3rd_Floor__0_30x0_30_,COL-3F-030
0x20000000177,Column_3rd_Floor__0_30x0_30_,COL-3F-031
